date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-30,bg.wikipedia,yes,control,46,29153,318
2018-11-30,bg.wikipedia,yes,treatment,54,25612,306
2018-11-30,en.wikipedia,no,control,2895904,47698562,4
2018-11-30,en.wikipedia,no,treatment,2886552,47215732,4
2018-11-30,en.wikipedia,yes,control,55,2285373,27079
2018-11-30,en.wikipedia,yes,treatment,45,1415457,26291
2018-11-30,es.wikipedia,no,control,723255,8376644,4
2018-11-30,es.wikipedia,no,treatment,725225,8866910,4
2018-11-30,es.wikipedia,yes,control,42,388518,6317.5
2018-11-30,es.wikipedia,yes,treatment,58,641710,6291.5
2018-11-30,pl.wikipedia,no,control,652946,1866606,2
2018-11-30,pl.wikipedia,no,treatment,661539,2229188,3
2018-11-30,pl.wikipedia,yes,control,45,127186,1606
2018-11-30,pl.wikipedia,yes,treatment,55,131705,1785
2018-12-01,bg.wikipedia,no,control,124176,200921,2
2018-12-01,bg.wikipedia,no,treatment,124190,198231,2
2018-12-01,bg.wikipedia,yes,control,54,24562,296
2018-12-01,bg.wikipedia,yes,treatment,46,19694,286.5
2018-12-01,en.wikipedia,no,control,2895897,44843257,4
2018-12-01,en.wikipedia,no,treatment,2886559,44725768,4
2018-12-01,en.wikipedia,yes,control,62,3231747,32156.5
2018-12-01,en.wikipedia,yes,treatment,38,3155085,33356.5
2018-12-01,es.wikipedia,no,control,723247,7024075,4
2018-12-01,es.wikipedia,no,treatment,725233,7389177,4
2018-12-01,es.wikipedia,yes,control,50,567599,7411
2018-12-01,es.wikipedia,yes,treatment,50,570566,7025
2018-12-01,pl.wikipedia,no,control,652943,1895310,2
2018-12-01,pl.wikipedia,no,treatment,661542,2257922,3
2018-12-01,pl.wikipedia,yes,control,48,284097,3471.5
2018-12-01,pl.wikipedia,yes,treatment,52,205358,3062.5
2018-12-02,bg.wikipedia,no,control,124172,232708,2
2018-12-02,bg.wikipedia,no,treatment,124194,231573,2
2018-12-02,bg.wikipedia,yes,control,58,31403,362
2018-12-02,bg.wikipedia,yes,treatment,42,19767,371
2018-12-02,en.wikipedia,no,control,2895900,49495757,4
2018-12-02,en.wikipedia,no,treatment,2886556,48908705,4
2018-12-02,en.wikipedia,yes,control,59,3240607,34470
2018-12-02,en.wikipedia,yes,treatment,41,2413549,35666
2018-12-02,es.wikipedia,no,control,723245,8307155,4
2018-12-02,es.wikipedia,no,treatment,725235,8774074,4
2018-12-02,es.wikipedia,yes,control,52,663785,9051.5
2018-12-02,es.wikipedia,yes,treatment,48,622691,8222
2018-12-02,pl.wikipedia,no,control,652946,2308877,3
2018-12-02,pl.wikipedia,no,treatment,661539,2800473,3
2018-12-02,pl.wikipedia,yes,control,45,237585,3009
2018-12-02,pl.wikipedia,yes,treatment,55,226889,2707
2018-12-03,bg.wikipedia,no,control,124180,234460,2
2018-12-03,bg.wikipedia,no,treatment,124186,235803,2
2018-12-03,bg.wikipedia,yes,control,50,47718,412
2018-12-03,bg.wikipedia,yes,treatment,50,31439,415.5
2018-12-03,en.wikipedia,no,control,2895902,52788223,4
2018-12-03,en.wikipedia,no,treatment,2886554,52556385,4
2018-12-03,en.wikipedia,yes,control,57,2986053,31527
2018-12-03,en.wikipedia,yes,treatment,43,2590416,34983
2018-12-03,es.wikipedia,no,control,723244,9570776,4
2018-12-03,es.wikipedia,no,treatment,725236,10224768,4
2018-12-03,es.wikipedia,yes,control,53,669420,7749
2018-12-03,es.wikipedia,yes,treatment,47,600517,8028
2018-12-03,pl.wikipedia,no,control,652952,2269463,3
2018-12-03,pl.wikipedia,no,treatment,661533,2776201,3
2018-12-03,pl.wikipedia,yes,control,39,140353,2257
2018-12-03,pl.wikipedia,yes,treatment,61,290321,2181
2018-12-04,bg.wikipedia,no,control,124179,240324,2
2018-12-04,bg.wikipedia,no,treatment,124187,238265,2
2018-12-04,bg.wikipedia,yes,control,51,37484,433
2018-12-04,bg.wikipedia,yes,treatment,49,31701,408
2018-12-04,en.wikipedia,no,control,2895905,51086321,4
2018-12-04,en.wikipedia,no,treatment,2886551,50970965,4
2018-12-04,en.wikipedia,yes,control,54,2936413,28121.5
2018-12-04,en.wikipedia,yes,treatment,46,2623821,34710
2018-12-04,es.wikipedia,no,control,723254,9653911,4
2018-12-04,es.wikipedia,no,treatment,725226,10204137,4
2018-12-04,es.wikipedia,yes,control,43,516997,8244
2018-12-04,es.wikipedia,yes,treatment,57,765835,7296
2018-12-04,pl.wikipedia,no,control,652959,2249722,3
2018-12-04,pl.wikipedia,no,treatment,661526,2737066,3
2018-12-04,pl.wikipedia,yes,control,32,126428,2516
2018-12-04,pl.wikipedia,yes,treatment,68,204748,2098.5
2018-12-05,bg.wikipedia,no,control,124180,238906,2
2018-12-05,bg.wikipedia,no,treatment,124186,238988,2
2018-12-05,bg.wikipedia,yes,control,50,35857,442.5
2018-12-05,bg.wikipedia,yes,treatment,50,23831,352.5
2018-12-05,en.wikipedia,no,control,2895900,50479488,4
2018-12-05,en.wikipedia,no,treatment,2886556,50321742,4
2018-12-05,en.wikipedia,yes,control,59,3411764,32912
2018-12-05,en.wikipedia,yes,treatment,41,3393350,36058
2018-12-05,es.wikipedia,no,control,723254,9260808,4
2018-12-05,es.wikipedia,no,treatment,725226,9793192,4
2018-12-05,es.wikipedia,yes,control,43,490848,7830
2018-12-05,es.wikipedia,yes,treatment,57,547103,6951
2018-12-05,pl.wikipedia,no,control,652948,2141079,3
2018-12-05,pl.wikipedia,no,treatment,661537,2615279,3
2018-12-05,pl.wikipedia,yes,control,43,174057,2280
2018-12-05,pl.wikipedia,yes,treatment,57,186373,2186
2018-12-06,bg.wikipedia,no,control,124178,221030,2
2018-12-06,bg.wikipedia,no,treatment,124188,222405,2
2018-12-06,bg.wikipedia,yes,control,52,57031,386
2018-12-06,bg.wikipedia,yes,treatment,48,25314,332.5
2018-12-06,en.wikipedia,no,control,2895901,49244473,4
2018-12-06,en.wikipedia,no,treatment,2886555,49072693,4
2018-12-06,en.wikipedia,yes,control,58,2835533,31801
2018-12-06,en.wikipedia,yes,treatment,42,2435339,31372.5
2018-12-06,es.wikipedia,no,control,723251,8977132,4
2018-12-06,es.wikipedia,no,treatment,725229,9488934,4
2018-12-06,es.wikipedia,yes,control,46,394324,6003
2018-12-06,es.wikipedia,yes,treatment,54,481124,7129
2018-12-06,pl.wikipedia,no,control,652950,2028925,3
2018-12-06,pl.wikipedia,no,treatment,661535,2451388,3
2018-12-06,pl.wikipedia,yes,control,41,232542,2209
2018-12-06,pl.wikipedia,yes,treatment,59,207701,1928
2018-12-07,bg.wikipedia,no,control,124177,207069,2
2018-12-07,bg.wikipedia,no,treatment,124189,207149,2
2018-12-07,bg.wikipedia,yes,control,53,51913,634
2018-12-07,bg.wikipedia,yes,treatment,47,32706,422
2018-12-07,en.wikipedia,no,control,2895905,46886970,4
2018-12-07,en.wikipedia,no,treatment,2886551,46671430,4
2018-12-07,en.wikipedia,yes,control,54,2743641,33365
2018-12-07,en.wikipedia,yes,treatment,46,2001367,31185
2018-12-07,es.wikipedia,no,control,723250,7945108,4
2018-12-07,es.wikipedia,no,treatment,725230,8324889,4
2018-12-07,es.wikipedia,yes,control,47,409964,6956
2018-12-07,es.wikipedia,yes,treatment,53,619148,7107
2018-12-07,pl.wikipedia,no,control,652948,1859396,2
2018-12-07,pl.wikipedia,no,treatment,661537,2212436,3
2018-12-07,pl.wikipedia,yes,control,43,127945,1927
2018-12-07,pl.wikipedia,yes,treatment,57,144797,1779
2018-12-08,bg.wikipedia,no,control,124187,191193,2
2018-12-08,bg.wikipedia,no,treatment,124179,185462,2
2018-12-08,bg.wikipedia,yes,control,43,20133,316
2018-12-08,bg.wikipedia,yes,treatment,57,23860,310
2018-12-08,en.wikipedia,no,control,2895897,44091697,4
2018-12-08,en.wikipedia,no,treatment,2886559,44078485,4
2018-12-08,en.wikipedia,yes,control,62,2429002,28760.5
2018-12-08,en.wikipedia,yes,treatment,38,1690233,31962.5
2018-12-08,es.wikipedia,no,control,723253,6684379,4
2018-12-08,es.wikipedia,no,treatment,725227,7022180,4
2018-12-08,es.wikipedia,yes,control,44,370119,6376
2018-12-08,es.wikipedia,yes,treatment,56,517184,6302
2018-12-08,pl.wikipedia,no,control,652951,1869179,2
2018-12-08,pl.wikipedia,no,treatment,661534,2193408,3
2018-12-08,pl.wikipedia,yes,control,40,156058,2544
2018-12-08,pl.wikipedia,yes,treatment,60,297171,1950.5
2018-12-09,bg.wikipedia,no,control,124177,229419,2
2018-12-09,bg.wikipedia,no,treatment,124189,228365,2
2018-12-09,bg.wikipedia,yes,control,53,31452,348
2018-12-09,bg.wikipedia,yes,treatment,47,28270,340
2018-12-09,en.wikipedia,no,control,2895897,48851628,4
2018-12-09,en.wikipedia,no,treatment,2886559,48538855,4
2018-12-09,en.wikipedia,yes,control,62,2711155,35248.5
2018-12-09,en.wikipedia,yes,treatment,38,2285463,38870.5
2018-12-09,es.wikipedia,no,control,723254,7815481,4
2018-12-09,es.wikipedia,no,treatment,725226,8251174,4
2018-12-09,es.wikipedia,yes,control,43,895871,10261
2018-12-09,es.wikipedia,yes,treatment,57,756865,8343
2018-12-09,pl.wikipedia,no,control,652947,2443162,3
2018-12-09,pl.wikipedia,no,treatment,661538,2928607,3
2018-12-09,pl.wikipedia,yes,control,44,165596,2564
2018-12-09,pl.wikipedia,yes,treatment,56,171989,2237
2018-12-10,bg.wikipedia,no,control,124180,248735,2
2018-12-10,bg.wikipedia,no,treatment,124186,246155,2
2018-12-10,bg.wikipedia,yes,control,50,58389,498
2018-12-10,bg.wikipedia,yes,treatment,50,83385,461
2018-12-10,en.wikipedia,no,control,2895907,51335930,4
2018-12-10,en.wikipedia,no,treatment,2886549,51101970,4
2018-12-10,en.wikipedia,yes,control,52,2062430,31270
2018-12-10,en.wikipedia,yes,treatment,48,2024888,28100
2018-12-10,es.wikipedia,no,control,723252,8870634,4
2018-12-10,es.wikipedia,no,treatment,725228,9435272,4
2018-12-10,es.wikipedia,yes,control,45,617111,7923
2018-12-10,es.wikipedia,yes,treatment,55,660218,7869
2018-12-10,pl.wikipedia,no,control,652950,2272249,3
2018-12-10,pl.wikipedia,no,treatment,661535,2718740,3
2018-12-10,pl.wikipedia,yes,control,41,122693,1789
2018-12-10,pl.wikipedia,yes,treatment,59,142244,2013
2018-12-11,bg.wikipedia,no,control,124184,250661,2
2018-12-11,bg.wikipedia,no,treatment,124182,245636,2
2018-12-11,bg.wikipedia,yes,control,46,33277,432
2018-12-11,bg.wikipedia,yes,treatment,54,41692,429
2018-12-11,en.wikipedia,no,control,2895901,50633237,4
2018-12-11,en.wikipedia,no,treatment,2886555,50710355,4
2018-12-11,en.wikipedia,yes,control,58,2413345,29404.5
2018-12-11,en.wikipedia,yes,treatment,42,1733731,32800.5
2018-12-11,es.wikipedia,no,control,723251,8898160,4
2018-12-11,es.wikipedia,no,treatment,725229,9508396,4
2018-12-11,es.wikipedia,yes,control,46,448396,7072
2018-12-11,es.wikipedia,yes,treatment,54,497972,6530
2018-12-11,pl.wikipedia,no,control,652957,2245926,3
2018-12-11,pl.wikipedia,no,treatment,661528,2692885,3
2018-12-11,pl.wikipedia,yes,control,34,101365,1866
2018-12-11,pl.wikipedia,yes,treatment,66,157026,1858.5
2018-12-12,bg.wikipedia,no,control,124182,244729,3
2018-12-12,bg.wikipedia,no,treatment,124184,242853,2
2018-12-12,bg.wikipedia,yes,control,48,42839,392.5
2018-12-12,bg.wikipedia,yes,treatment,52,26465,404
2018-12-12,en.wikipedia,no,control,2895903,49407650,4
2018-12-12,en.wikipedia,no,treatment,2886553,49181589,4
2018-12-12,en.wikipedia,yes,control,56,2527278,32605
2018-12-12,en.wikipedia,yes,treatment,44,1657968,31983.5
2018-12-12,es.wikipedia,no,control,723254,8419177,4
2018-12-12,es.wikipedia,no,treatment,725226,8911219,4
2018-12-12,es.wikipedia,yes,control,43,391681,6158
2018-12-12,es.wikipedia,yes,treatment,57,655961,6221
2018-12-12,pl.wikipedia,no,control,652953,2190473,3
2018-12-12,pl.wikipedia,no,treatment,661532,2638781,3
2018-12-12,pl.wikipedia,yes,control,38,95023,1822.5
2018-12-12,pl.wikipedia,yes,treatment,62,148466,1824.5
2018-12-13,bg.wikipedia,no,control,124181,234441,2
2018-12-13,bg.wikipedia,no,treatment,124185,232905,2
2018-12-13,bg.wikipedia,yes,control,49,32840,346
2018-12-13,bg.wikipedia,yes,treatment,51,28224,360
2018-12-13,en.wikipedia,no,control,2895901,48180871,4
2018-12-13,en.wikipedia,no,treatment,2886555,48155181,4
2018-12-13,en.wikipedia,yes,control,58,2664892,27019
2018-12-13,en.wikipedia,yes,treatment,42,1418368,24331.5
2018-12-13,es.wikipedia,no,control,723251,8186915,4
2018-12-13,es.wikipedia,no,treatment,725229,8628896,4
2018-12-13,es.wikipedia,yes,control,46,373907,6371
2018-12-13,es.wikipedia,yes,treatment,54,520518,6347.5
2018-12-13,pl.wikipedia,no,control,652951,2129775,3
2018-12-13,pl.wikipedia,no,treatment,661534,2552835,3
2018-12-13,pl.wikipedia,yes,control,40,114661,1736
2018-12-13,pl.wikipedia,yes,treatment,60,389600,2028.5
2018-12-14,bg.wikipedia,no,control,124181,211311,2
2018-12-14,bg.wikipedia,no,treatment,124185,210286,2
2018-12-14,bg.wikipedia,yes,control,49,31623,434
2018-12-14,bg.wikipedia,yes,treatment,51,21540,328
2018-12-14,en.wikipedia,no,control,2895906,45831301,4
2018-12-14,en.wikipedia,no,treatment,2886550,45537747,4
2018-12-14,en.wikipedia,yes,control,53,2231901,29275
2018-12-14,en.wikipedia,yes,treatment,47,2056936,28369
2018-12-14,es.wikipedia,no,control,723253,7049852,4
2018-12-14,es.wikipedia,no,treatment,725227,7445565,4
2018-12-14,es.wikipedia,yes,control,44,292844,5073
2018-12-14,es.wikipedia,yes,treatment,56,490406,5813.5
2018-12-14,pl.wikipedia,no,control,652950,1839635,2
2018-12-14,pl.wikipedia,no,treatment,661535,2149045,3
2018-12-14,pl.wikipedia,yes,control,41,77814,1445
2018-12-14,pl.wikipedia,yes,treatment,59,117118,1397
2018-12-15,bg.wikipedia,no,control,124186,196647,2
2018-12-15,bg.wikipedia,no,treatment,124180,192385,2
2018-12-15,bg.wikipedia,yes,control,44,26083,333.5
2018-12-15,bg.wikipedia,yes,treatment,56,27233,296
2018-12-15,en.wikipedia,no,control,2895901,42797309,4
2018-12-15,en.wikipedia,no,treatment,2886555,42641668,4
2018-12-15,en.wikipedia,yes,control,58,2069582,29253.5
2018-12-15,en.wikipedia,yes,treatment,42,1714345,32271
2018-12-15,es.wikipedia,no,control,723249,5906942,4
2018-12-15,es.wikipedia,no,treatment,725231,6183395,4
2018-12-15,es.wikipedia,yes,control,48,302344,4394
2018-12-15,es.wikipedia,yes,treatment,52,389346,4409
2018-12-15,pl.wikipedia,no,control,652947,1803419,2
2018-12-15,pl.wikipedia,no,treatment,661538,2117096,3
2018-12-15,pl.wikipedia,yes,control,44,129776,1981.5
2018-12-15,pl.wikipedia,yes,treatment,56,312013,1661.5
2018-12-16,bg.wikipedia,no,control,124186,226218,2
2018-12-16,bg.wikipedia,no,treatment,124180,228684,2
2018-12-16,bg.wikipedia,yes,control,44,32356,419.5
2018-12-16,bg.wikipedia,yes,treatment,56,32709,365.5
2018-12-16,en.wikipedia,no,control,2895906,46463303,4
2018-12-16,en.wikipedia,no,treatment,2886550,46253711,4
2018-12-16,en.wikipedia,yes,control,53,1933522,30306
2018-12-16,en.wikipedia,yes,treatment,47,1936738,31636
2018-12-16,es.wikipedia,no,control,723251,6712783,4
2018-12-16,es.wikipedia,no,treatment,725229,7064657,4
2018-12-16,es.wikipedia,yes,control,46,482179,5861
2018-12-16,es.wikipedia,yes,treatment,54,460583,5552.5
2018-12-16,pl.wikipedia,no,control,652944,2185093,3
2018-12-16,pl.wikipedia,no,treatment,661541,2630888,3
2018-12-16,pl.wikipedia,yes,control,47,199128,2912
2018-12-16,pl.wikipedia,yes,treatment,53,154880,2248
2018-12-17,bg.wikipedia,no,control,124185,233529,2
2018-12-17,bg.wikipedia,no,treatment,124181,234353,2
2018-12-17,bg.wikipedia,yes,control,45,28502,397
2018-12-17,bg.wikipedia,yes,treatment,55,35821,426
2018-12-17,en.wikipedia,no,control,2895902,48883596,4
2018-12-17,en.wikipedia,no,treatment,2886554,48724070,4
2018-12-17,en.wikipedia,yes,control,57,2794504,28460
2018-12-17,en.wikipedia,yes,treatment,43,2162193,27741
2018-12-17,es.wikipedia,no,control,723252,7394306,4
2018-12-17,es.wikipedia,no,treatment,725228,7853445,4
2018-12-17,es.wikipedia,yes,control,45,532500,8394
2018-12-17,es.wikipedia,yes,treatment,55,713895,7037
2018-12-17,pl.wikipedia,no,control,652951,2083764,3
2018-12-17,pl.wikipedia,no,treatment,661534,2510748,3
2018-12-17,pl.wikipedia,yes,control,40,85994,1681
2018-12-17,pl.wikipedia,yes,treatment,60,188496,1786
2018-12-18,bg.wikipedia,no,control,124184,232783,2
2018-12-18,bg.wikipedia,no,treatment,124182,231568,2
2018-12-18,bg.wikipedia,yes,control,46,28578,357
2018-12-18,bg.wikipedia,yes,treatment,54,25689,382.5
2018-12-18,en.wikipedia,no,control,2895897,46812419,4
2018-12-18,en.wikipedia,no,treatment,2886559,46879904,4
2018-12-18,en.wikipedia,yes,control,62,2553743,25982
2018-12-18,en.wikipedia,yes,treatment,38,1590835,26879
2018-12-18,es.wikipedia,no,control,723251,6990782,4
2018-12-18,es.wikipedia,no,treatment,725229,7412028,4
2018-12-18,es.wikipedia,yes,control,46,689419,8502.5
2018-12-18,es.wikipedia,yes,treatment,54,573707,6403
2018-12-18,pl.wikipedia,no,control,652953,2034333,3
2018-12-18,pl.wikipedia,no,treatment,661532,2428312,3
2018-12-18,pl.wikipedia,yes,control,38,178670,1709
2018-12-18,pl.wikipedia,yes,treatment,62,201618,1733
2018-12-19,bg.wikipedia,no,control,124183,214635,2
2018-12-19,bg.wikipedia,no,treatment,124183,213539,2
2018-12-19,bg.wikipedia,yes,control,47,30497,284
2018-12-19,bg.wikipedia,yes,treatment,53,26482,281
2018-12-19,en.wikipedia,no,control,2895905,45455538,4
2018-12-19,en.wikipedia,no,treatment,2886551,45241015,4
2018-12-19,en.wikipedia,yes,control,54,2240040,24859
2018-12-19,en.wikipedia,yes,treatment,46,2023042,31464
2018-12-19,es.wikipedia,no,control,723252,6574173,4
2018-12-19,es.wikipedia,no,treatment,725228,6951440,4
2018-12-19,es.wikipedia,yes,control,45,315498,6120
2018-12-19,es.wikipedia,yes,treatment,55,467795,5840
2018-12-19,pl.wikipedia,no,control,652947,1900610,2
2018-12-19,pl.wikipedia,no,treatment,661538,2269838,3
2018-12-19,pl.wikipedia,yes,control,44,81969,1548.5
2018-12-19,pl.wikipedia,yes,treatment,56,135837,1567.5
2018-12-20,bg.wikipedia,no,control,124185,196750,2
2018-12-20,bg.wikipedia,no,treatment,124181,193929,2
2018-12-20,bg.wikipedia,yes,control,45,48963,337
2018-12-20,bg.wikipedia,yes,treatment,55,36091,429
2018-12-20,en.wikipedia,no,control,2895905,43655408,4
2018-12-20,en.wikipedia,no,treatment,2886551,43391334,4
2018-12-20,en.wikipedia,yes,control,54,1870584,24125.5
2018-12-20,en.wikipedia,yes,treatment,46,1523903,25529.5
2018-12-20,es.wikipedia,no,control,723254,5999683,4
2018-12-20,es.wikipedia,no,treatment,725226,6295908,4
2018-12-20,es.wikipedia,yes,control,43,228633,4431
2018-12-20,es.wikipedia,yes,treatment,57,468173,5136
2018-12-20,pl.wikipedia,no,control,652950,1643961,2
2018-12-20,pl.wikipedia,no,treatment,661535,1962652,3
2018-12-20,pl.wikipedia,yes,control,41,86219,1391
2018-12-20,pl.wikipedia,yes,treatment,59,133010,1568
2018-12-21,bg.wikipedia,no,control,124178,160921,2
2018-12-21,bg.wikipedia,no,treatment,124188,160729,2
2018-12-21,bg.wikipedia,yes,control,52,29491,254.5
2018-12-21,bg.wikipedia,yes,treatment,48,19590,342
2018-12-21,en.wikipedia,no,control,2895908,41096964,3
2018-12-21,en.wikipedia,no,treatment,2886548,40647832,3
2018-12-21,en.wikipedia,yes,control,51,1839913,25268
2018-12-21,en.wikipedia,yes,treatment,49,2211127,28595
2018-12-21,es.wikipedia,no,control,723251,5309263,3
2018-12-21,es.wikipedia,no,treatment,725229,5583862,4
2018-12-21,es.wikipedia,yes,control,46,335944,4967
2018-12-21,es.wikipedia,yes,treatment,54,501474,5539
2018-12-21,pl.wikipedia,no,control,652948,1442378,2
2018-12-21,pl.wikipedia,no,treatment,661537,1668447,2
2018-12-21,pl.wikipedia,yes,control,43,104146,1489
2018-12-21,pl.wikipedia,yes,treatment,57,134901,1466
2018-12-22,bg.wikipedia,no,control,124179,156474,2
2018-12-22,bg.wikipedia,no,treatment,124187,156268,2
2018-12-22,bg.wikipedia,yes,control,51,22164,255
2018-12-22,bg.wikipedia,yes,treatment,49,18723,278
2018-12-22,en.wikipedia,no,control,2895909,40078198,3
2018-12-22,en.wikipedia,no,treatment,2886547,39876727,3
2018-12-22,en.wikipedia,yes,control,50,2075812,28618.5
2018-12-22,en.wikipedia,yes,treatment,50,2218885,28182
2018-12-22,es.wikipedia,no,control,723250,4835630,3
2018-12-22,es.wikipedia,no,treatment,725230,5074016,3
2018-12-22,es.wikipedia,yes,control,47,422420,5398
2018-12-22,es.wikipedia,yes,treatment,53,399013,5523
2018-12-22,pl.wikipedia,no,control,652946,1446118,2
2018-12-22,pl.wikipedia,no,treatment,661539,1674040,2
2018-12-22,pl.wikipedia,yes,control,45,89833,1812
2018-12-22,pl.wikipedia,yes,treatment,55,109398,1699
2018-12-23,bg.wikipedia,no,control,124186,169360,2
2018-12-23,bg.wikipedia,no,treatment,124180,167850,2
2018-12-23,bg.wikipedia,yes,control,44,21653,321
2018-12-23,bg.wikipedia,yes,treatment,56,47926,366.5
2018-12-23,en.wikipedia,no,control,2895913,42949529,3
2018-12-23,en.wikipedia,no,treatment,2886543,42445003,3
2018-12-23,en.wikipedia,yes,control,46,2004712,32097
2018-12-23,en.wikipedia,yes,treatment,54,2421319,30860.5
2018-12-23,es.wikipedia,no,control,723252,5198768,3
2018-12-23,es.wikipedia,no,treatment,725228,5396703,3
2018-12-23,es.wikipedia,yes,control,45,332217,5043
2018-12-23,es.wikipedia,yes,treatment,55,347394,4605
2018-12-23,pl.wikipedia,no,control,652948,1572041,2
2018-12-23,pl.wikipedia,no,treatment,661537,1790201,2
2018-12-23,pl.wikipedia,yes,control,43,108483,1875
2018-12-23,pl.wikipedia,yes,treatment,57,121317,1719
2018-12-24,bg.wikipedia,no,control,124190,182800,2
2018-12-24,bg.wikipedia,no,treatment,124176,180272,2
2018-12-24,bg.wikipedia,yes,control,40,57194,440.5
2018-12-24,bg.wikipedia,yes,treatment,60,57769,539
2018-12-24,en.wikipedia,no,control,2895911,41485689,3
2018-12-24,en.wikipedia,no,treatment,2886545,41377158,3
2018-12-24,en.wikipedia,yes,control,48,2002299,31784.5
2018-12-24,en.wikipedia,yes,treatment,52,2511717,32261
2018-12-24,es.wikipedia,no,control,723250,4908122,3
2018-12-24,es.wikipedia,no,treatment,725230,5128584,3
2018-12-24,es.wikipedia,yes,control,47,346697,5772
2018-12-24,es.wikipedia,yes,treatment,53,489051,5628
2018-12-24,pl.wikipedia,no,control,652946,1333242,2
2018-12-24,pl.wikipedia,no,treatment,661539,1550199,2
2018-12-24,pl.wikipedia,yes,control,45,182497,2587
2018-12-24,pl.wikipedia,yes,treatment,55,199911,2153
2018-12-25,bg.wikipedia,no,control,124186,206124,2
2018-12-25,bg.wikipedia,no,treatment,124180,202700,2
2018-12-25,bg.wikipedia,yes,control,44,51834,630.5
2018-12-25,bg.wikipedia,yes,treatment,56,49507,598
2018-12-25,en.wikipedia,no,control,2895905,41630884,3
2018-12-25,en.wikipedia,no,treatment,2886551,41736205,3
2018-12-25,en.wikipedia,yes,control,54,2689117,39683
2018-12-25,en.wikipedia,yes,treatment,46,2238249,33739
2018-12-25,es.wikipedia,no,control,723248,5124491,3
2018-12-25,es.wikipedia,no,treatment,725232,5360551,3
2018-12-25,es.wikipedia,yes,control,49,379642,5488
2018-12-25,es.wikipedia,yes,treatment,51,650488,5334
2018-12-25,pl.wikipedia,no,control,652944,1880560,2
2018-12-25,pl.wikipedia,no,treatment,661541,2193400,2
2018-12-25,pl.wikipedia,yes,control,47,176570,2832
2018-12-25,pl.wikipedia,yes,treatment,53,249800,2640
2018-12-26,bg.wikipedia,no,control,124177,202003,2
2018-12-26,bg.wikipedia,no,treatment,124189,201177,2
2018-12-26,bg.wikipedia,yes,control,53,39574,482
2018-12-26,bg.wikipedia,yes,treatment,47,28074,413
2018-12-26,en.wikipedia,no,control,2895904,44939192,3
2018-12-26,en.wikipedia,no,treatment,2886552,44949690,3
2018-12-26,en.wikipedia,yes,control,55,2391081,33006
2018-12-26,en.wikipedia,yes,treatment,45,2541530,34139
2018-12-26,es.wikipedia,no,control,723252,6184706,4
2018-12-26,es.wikipedia,no,treatment,725228,6468180,4
2018-12-26,es.wikipedia,yes,control,45,363312,6147
2018-12-26,es.wikipedia,yes,treatment,55,508445,6571
2018-12-26,pl.wikipedia,no,control,652944,1976367,2
2018-12-26,pl.wikipedia,no,treatment,661541,2308783,2
2018-12-26,pl.wikipedia,yes,control,47,211479,3472
2018-12-26,pl.wikipedia,yes,treatment,53,336097,2764
2018-12-27,bg.wikipedia,no,control,124182,198247,2
2018-12-27,bg.wikipedia,no,treatment,124184,198253,2
2018-12-27,bg.wikipedia,yes,control,48,32040,381
2018-12-27,bg.wikipedia,yes,treatment,52,46033,387
2018-12-27,en.wikipedia,no,control,2895906,46239387,4
2018-12-27,en.wikipedia,no,treatment,2886550,45901875,4
2018-12-27,en.wikipedia,yes,control,53,2347872,30920
2018-12-27,en.wikipedia,yes,treatment,47,2374661,33041
2018-12-27,es.wikipedia,no,control,723251,6161631,4
2018-12-27,es.wikipedia,no,treatment,725229,6450797,4
2018-12-27,es.wikipedia,yes,control,46,436741,6071
2018-12-27,es.wikipedia,yes,treatment,54,333166,5115.5
2018-12-27,pl.wikipedia,no,control,652947,1956286,2
2018-12-27,pl.wikipedia,no,treatment,661538,2284338,3
2018-12-27,pl.wikipedia,yes,control,44,173533,2737
2018-12-27,pl.wikipedia,yes,treatment,56,229728,2609
2018-12-28,bg.wikipedia,no,control,124173,199384,2
2018-12-28,bg.wikipedia,no,treatment,124193,198356,2
2018-12-28,bg.wikipedia,yes,control,57,26959,322
2018-12-28,bg.wikipedia,yes,treatment,43,24368,387
2018-12-28,en.wikipedia,no,control,2895902,45591807,4
2018-12-28,en.wikipedia,no,treatment,2886554,45356195,4
2018-12-28,en.wikipedia,yes,control,57,2709754,30065
2018-12-28,en.wikipedia,yes,treatment,43,1906119,30252
2018-12-28,es.wikipedia,no,control,723251,5966922,4
2018-12-28,es.wikipedia,no,treatment,725229,6221556,4
2018-12-28,es.wikipedia,yes,control,46,486816,4929.5
2018-12-28,es.wikipedia,yes,treatment,54,344488,4455.5
2018-12-28,pl.wikipedia,no,control,652956,1921853,2
2018-12-28,pl.wikipedia,no,treatment,661529,2210887,3
2018-12-28,pl.wikipedia,yes,control,35,100674,1882
2018-12-28,pl.wikipedia,yes,treatment,65,184397,1853
2018-12-29,bg.wikipedia,no,control,124175,212085,2
2018-12-29,bg.wikipedia,no,treatment,124191,210862,2
2018-12-29,bg.wikipedia,yes,control,55,29301,336
2018-12-29,bg.wikipedia,yes,treatment,45,22568,359
2018-12-29,en.wikipedia,no,control,2895904,45827206,4
2018-12-29,en.wikipedia,no,treatment,2886552,45310135,4
2018-12-29,en.wikipedia,yes,control,55,2679231,32554
