date,wiki_id,popular,test_group,n_pages,view_total,view_median
2018-11-06,pl.wikipedia,no,treatment,661532,2779768,3
2018-11-06,pl.wikipedia,yes,control,38,107691,1785
2018-11-06,pl.wikipedia,yes,treatment,62,286970,2210
2018-11-07,bg.wikipedia,no,control,124181,238383,2
2018-11-07,bg.wikipedia,no,treatment,124185,235572,2
2018-11-07,bg.wikipedia,yes,control,49,41984,424
2018-11-07,bg.wikipedia,yes,treatment,51,30342,393
2018-11-07,en.wikipedia,no,control,2895903,49763520,4
2018-11-07,en.wikipedia,no,treatment,2886553,50020195,4
2018-11-07,en.wikipedia,yes,control,56,4154647,44920.5
2018-11-07,en.wikipedia,yes,treatment,44,3597863,40124
2018-11-07,es.wikipedia,no,control,723249,12083688,5
2018-11-07,es.wikipedia,no,treatment,725231,12825760,5
2018-11-07,es.wikipedia,yes,control,48,663360,9337
2018-11-07,es.wikipedia,yes,treatment,52,503968,8115.5
2018-11-07,pl.wikipedia,no,control,652952,2211857,3
2018-11-07,pl.wikipedia,no,treatment,661533,2709406,3
2018-11-07,pl.wikipedia,yes,control,39,111883,2158
2018-11-07,pl.wikipedia,yes,treatment,61,331652,2600
2018-11-08,bg.wikipedia,no,control,124181,232596,2
2018-11-08,bg.wikipedia,no,treatment,124185,229624,2
2018-11-08,bg.wikipedia,yes,control,49,52613,372
2018-11-08,bg.wikipedia,yes,treatment,51,33256,327
2018-11-08,en.wikipedia,no,control,2895907,48901240,4
2018-11-08,en.wikipedia,no,treatment,2886549,48718715,4
2018-11-08,en.wikipedia,yes,control,52,1963773,25649.5
2018-11-08,en.wikipedia,yes,treatment,48,2296178,29216.5
2018-11-08,es.wikipedia,no,control,723252,11705100,5
2018-11-08,es.wikipedia,no,treatment,725228,12441613,5
2018-11-08,es.wikipedia,yes,control,45,509394,7223
2018-11-08,es.wikipedia,yes,treatment,55,487329,7399
2018-11-08,pl.wikipedia,no,control,652958,2074356,3
2018-11-08,pl.wikipedia,no,treatment,661527,2520192,3
2018-11-08,pl.wikipedia,yes,control,33,90755,2288
2018-11-08,pl.wikipedia,yes,treatment,67,300479,2144
2018-11-09,bg.wikipedia,no,control,124175,207337,2
2018-11-09,bg.wikipedia,no,treatment,124191,209498,2
2018-11-09,bg.wikipedia,yes,control,55,34089,352
2018-11-09,bg.wikipedia,yes,treatment,45,25590,336
2018-11-09,en.wikipedia,no,control,2895919,47106687,4
2018-11-09,en.wikipedia,no,treatment,2886537,47011064,4
2018-11-09,en.wikipedia,yes,control,40,1539191,30653
2018-11-09,en.wikipedia,yes,treatment,60,2853221,33496.5
2018-11-09,es.wikipedia,no,control,723254,10082426,4
2018-11-09,es.wikipedia,no,treatment,725226,10668524,4
2018-11-09,es.wikipedia,yes,control,43,450812,6277
2018-11-09,es.wikipedia,yes,treatment,57,445551,6187
2018-11-09,pl.wikipedia,no,control,652953,1797440,2
2018-11-09,pl.wikipedia,no,treatment,661532,2133337,3
2018-11-09,pl.wikipedia,yes,control,38,96753,1894
2018-11-09,pl.wikipedia,yes,treatment,62,279849,2171.5
2018-11-10,bg.wikipedia,no,control,124179,201469,2
2018-11-10,bg.wikipedia,no,treatment,124187,197217,2
2018-11-10,bg.wikipedia,yes,control,51,24949,349
2018-11-10,bg.wikipedia,yes,treatment,49,27614,356
2018-11-10,en.wikipedia,no,control,2895915,44943624,4
2018-11-10,en.wikipedia,no,treatment,2886541,45021070,4
